keyword	intent	volume	competition	cluster	target_page	priority	notes
keyword	informational	100k-1M	Low	keyword-research-basics	/categories/keyword-research	1	Trends (Worldwide, past 12m): mostly stable baseline with mild spikes around planning periods (Q1/Q3).
google keyword planner	navigational	100k-1M	Low	google-keyword-planner	/categories/google-keyword-planner	1	Trends (Worldwide, past 12m): clear leader variant; peak Aug-Sep 2025, dip Jan 2026; moderate seasonality.
keyword planner	navigational	100k-1M	Low	google-keyword-planner	/categories/google-keyword-planner	1	Trends (Worldwide, past 12m): clear leader variant; peak Aug-Sep 2025, dip Jan 2026; moderate seasonality.
keyword tool	transactional	100k-1M	Low	keyword-tools	/categories/keyword-tools	2	Trends (Worldwide, past 12m): steady tool-intent demand; small periodic peaks, no sharp long-term trend.
keyword research	informational	100k-1M	Low	keyword-research-basics	/categories/keyword-research	1	Trends (Worldwide, past 12m): mostly stable baseline with mild spikes around planning periods (Q1/Q3).
google ads keyword planner	navigational	10k-100k	Low	google-keyword-planner	/categories/google-keyword-planner	1	Trends (Worldwide, past 12m): clear leader variant; peak Aug-Sep 2025, dip Jan 2026; moderate seasonality.
google keyword tool	navigational	1k-10k	Low	keyword-tools	/categories/keyword-tools	2	Trends (Worldwide, past 12m): steady tool-intent demand; small periodic peaks, no sharp long-term trend.
free keyword research tool	transactional	10k-100k	Low	keyword-tools	/categories/keyword-tools	2	Trends (Worldwide, past 12m): steady tool-intent demand; small periodic peaks, no sharp long-term trend.
keyword search	informational	10k-100k	Low	keyword-research-basics	/categories/keyword-research	1	Trends (Worldwide, past 12m): mostly stable baseline with mild spikes around planning periods (Q1/Q3).
google keywords	navigational	10k-100k	Low	keyword-research-basics	/categories/keyword-research	1	Trends (Worldwide, past 12m): mostly stable baseline with mild spikes around planning periods (Q1/Q3).
google keyword research tool	navigational	1k-10k	Low	keyword-tools	/categories/keyword-tools	2	Trends (Worldwide, past 12m): steady tool-intent demand; small periodic peaks, no sharp long-term trend.
keyword research tool	transactional	10k-100k	Low	keyword-research-basics	/categories/keyword-research	1	Trends (Worldwide, past 12m): mostly stable baseline with mild spikes around planning periods (Q1/Q3).
keyword generator	transactional	10k-100k	Low	keyword-tools	/categories/keyword-tools	2	Trends (Worldwide, past 12m): steady tool-intent demand; small periodic peaks, no sharp long-term trend.
google keyword planner free	navigational	1k-10k	Low	google-keyword-planner	/categories/google-keyword-planner	1	Trends (Worldwide, past 12m): clear leader variant; peak Aug-Sep 2025, dip Jan 2026; moderate seasonality.
google keyword search	navigational	10k-100k	Low	keyword-research-basics	/categories/keyword-research	1	Trends (Worldwide, past 12m): mostly stable baseline with mild spikes around planning periods (Q1/Q3).
keyword finder	transactional	1k-10k	Low	keyword-tools	/categories/keyword-tools	2	Trends (Worldwide, past 12m): steady tool-intent demand; small periodic peaks, no sharp long-term trend.
keyword planner tool	transactional	1k-10k	Low	google-keyword-planner	/categories/google-keyword-planner	1	Trends (Worldwide, past 12m): clear leader variant; peak Aug-Sep 2025, dip Jan 2026; moderate seasonality.
google adwords keyword planner	navigational	1k-10k	Low	google-keyword-planner	/categories/google-keyword-planner	1	Trends (Worldwide, past 12m): clear leader variant; peak Aug-Sep 2025, dip Jan 2026; moderate seasonality.
keyword search tool	transactional	1k-10k	Low	keyword-tools	/categories/keyword-tools	2	Trends (Worldwide, past 12m): steady tool-intent demand; small periodic peaks, no sharp long-term trend.
adwords keyword planner	navigational	1k-10k	Low	google-keyword-planner	/categories/google-keyword-planner	1	Trends (Worldwide, past 12m): clear leader variant; peak Aug-Sep 2025, dip Jan 2026; moderate seasonality.
keywords everywhere	navigational	10k-100k	Low	third-party-tools	/categories/seo-tools	2	Trends (Worldwide, past 12m): brand-driven interest; stable with occasional release-related peaks.
google keyword planner tool	navigational	1k-10k	Low	google-keyword-planner	/categories/google-keyword-planner	1	Trends (Worldwide, past 12m): clear leader variant; peak Aug-Sep 2025, dip Jan 2026; moderate seasonality.
seo keywords	informational	10k-100k	Low	seo-keywords	/categories/seo	1	Trends (Worldwide, past 12m): stable demand; occasional spikes near SEO update/news cycles.
google ads keywords	navigational	1k-10k	Low	google-keyword-planner	/categories/google-keyword-planner	1	Trends (Worldwide, past 12m): clear leader variant; peak Aug-Sep 2025, dip Jan 2026; moderate seasonality.
seo keyword search	informational	1k-10k	Low	seo-keywords	/categories/seo	1	Trends (Worldwide, past 12m): stable demand; occasional spikes near SEO update/news cycles.
keyword planner google ads	navigational	1k-10k	Low	google-keyword-planner	/categories/google-keyword-planner	1	Trends (Worldwide, past 12m): clear leader variant; peak Aug-Sep 2025, dip Jan 2026; moderate seasonality.
keyword planner free	transactional	1k-10k	Low	google-keyword-planner	/categories/google-keyword-planner	1	Trends (Worldwide, past 12m): clear leader variant; peak Aug-Sep 2025, dip Jan 2026; moderate seasonality.
best keyword research tool	transactional	1k-10k	Low	keyword-research-basics	/categories/keyword-research	1	Trends (Worldwide, past 12m): mostly stable baseline with mild spikes around planning periods (Q1/Q3).
seo keyword research	informational	10k-100k	Low	seo-keywords	/categories/seo	1	Trends (Worldwide, past 12m): stable demand; occasional spikes near SEO update/news cycles.
keyword magic tool	transactional	1k-10k	Medium	third-party-tools	/categories/seo-tools	2	Trends (Worldwide, past 12m): brand-driven interest; stable with occasional release-related peaks.
seo ranking checker	informational	10k-100k	Low	rank-tracking	/categories/rank-tracking	2	Trends (Worldwide, past 12m): lower baseline with short spikes; likely tied to ranking volatility checks.
youtube keyword tool	navigational	10k-100k	Low	third-party-tools	/categories/seo-tools	2	Trends (Worldwide, past 12m): brand-driven interest; stable with occasional release-related peaks.
free keyword tool	transactional	1k-10k	Low	keyword-tools	/categories/keyword-tools	2	Trends (Worldwide, past 12m): steady tool-intent demand; small periodic peaks, no sharp long-term trend.
seo keyword generator	transactional	1k-10k	Low	seo-keywords	/categories/seo	1	Trends (Worldwide, past 12m): stable demand; occasional spikes near SEO update/news cycles.
semrush keyword research	navigational	10k-100k	Low	third-party-tools	/categories/seo-tools	2	Trends (Worldwide, past 12m): brand-driven interest; stable with occasional release-related peaks.
keyword search volume	informational	1k-10k	Low	seo-keywords	/categories/seo	1	Trends (Worldwide, past 12m): stable demand; occasional spikes near SEO update/news cycles.
keyword analysis	informational	1k-10k	Low	keyword-research-basics	/categories/keyword-research	1	Trends (Worldwide, past 12m): mostly stable baseline with mild spikes around planning periods (Q1/Q3).
keyword checker	informational	10k-100k	Low	rank-tracking	/categories/rank-tracking	2	Trends (Worldwide, past 12m): lower baseline with short spikes; likely tied to ranking volatility checks.
long tail keywords	informational	1k-10k	Low	seo-keywords	/categories/seo	1	Trends (Worldwide, past 12m): stable demand; occasional spikes near SEO update/news cycles.
keyword rank checker	informational	10k-100k	Low	rank-tracking	/categories/rank-tracking	2	Trends (Worldwide, past 12m): lower baseline with short spikes; likely tied to ranking volatility checks.
