Name	Value
Address	https://lamalog.pp.ua/
URL Encoded Address	https://lamalog.pp.ua/
Content Type	text/html
Status Code	200
Status	
Indexability	Indexable
Title 1	Lama Dev Blog App
Title 1 Length	17
Title 1 Pixel Width	174
Meta Description 1	Tech blog with articles about JavaScript, frontend, backend, DevOps, AI, machine learning, and cybersecurity.
Meta Description 1 Length	109
Meta Description 1 Pixel Width	672
H1-1	Welcome to our Tech Blog!
H1-1 Length	25
H1-2	Recent Posts
H1-2 Length	12
Canonical Link Element 1	https://lamalog.pp.ua/
Canonical Link Element 1 Origin	HTML
Canonical Link Element 1 Indexability	Indexable
Size	37.9 KB
Transferred	37.9 KB
Total Transferred	37.9 KB
CO2 (mg)	14,521
Carbon Rating	
Word Count	239
Sentence Count	65
Average Words Per Sentence	368
Flesch Reading Ease Score	6,222
Readability	Normal
Text Ratio	500
Crawl Depth	0
Folder Depth	0
Link Score	
Inlinks	127
Unique Inlinks	37
Unique JS Inlinks	0
% of Total	100.0
Outlinks	59
Unique Outlinks	25
Unique JS Outlinks	0
External Outlinks	0
Unique External Outlinks	0
Unique External JS Outlinks	0
Hash	53619a69fdb39e4446f9e2548641d3ff
Response Time	109
Last Modified	
Language	en
HTTP Version	1.1
Crawl Timestamp	2026-03-29 14:56:37
